node,node,weight
群贤堂,思群堂,3
图书馆逸夫楼,群贤堂,7
地理馆,群贤堂,6
物理楼,图书馆逸夫楼,10
化学实验楼,群贤堂,9
生物实验楼,思群堂,8
行政楼,化学实验楼,6
教育学部楼,群贤堂,5
信息楼,生物实验楼,10
计算机中心,群贤堂,8
商学院楼,图书馆逸夫楼,5
心理与认知科学学院楼,群贤堂,2
法学院楼,生物实验楼,10
音乐学院楼,计算机中心,5
美术学院楼,化学实验楼,7
马克思主义学院楼,物理楼,10
河口海岸大楼,商学院楼,9
国际教育中心,河口海岸大楼,6
档案馆,音乐学院楼,8
校史馆,国际教育中心,2
丽娃河,教育学部楼,6
丽虹桥,校史馆,2
共青场,音乐学院楼,3
体育健康楼,图书馆逸夫楼,4
足球场,计算机中心,3
篮球场,丽虹桥,10
排球场,音乐学院楼,7
百花园餐厅,美术学院楼,8
银之春西餐厅,体育健康楼,5
申云轩餐厅,丽娃河,9
河西食堂,计算机中心,10
河东食堂,马克思主义学院楼,3
丽娃食堂,体育健康楼,4
华闵餐厅,美术学院楼,10
秋实阁,图书馆逸夫楼,5
秋林阁,丽娃河,5
校医院,河口海岸大楼,9
学生活动中心,丽虹桥,8
学术交流中心,化学实验楼,8
第一教学楼,足球场,2
第二教学楼,群贤堂,9
第三教学楼,思群堂,7
第四教学楼,秋实阁,8
实验A楼,生物实验楼,6
实验B楼,银之春西餐厅,7
实验教学中心,丽娃河,4
物理信息楼,法学院楼,7
法商楼,丽虹桥,4
闵行图书馆,美术学院楼,7
人文学院楼,法商楼,10
统计学院楼,第一教学楼,1
生命科学学院楼,法商楼,5
数统楼,音乐学院楼,9
外语学院楼,第二教学楼,10
田径场,闵行图书馆,2
游泳馆,地理馆,9
崇真书院,教育学部楼,6
桃李园广场,游泳馆,2
青年教师公寓,闵行图书馆,9
本科生公寓1号楼,物理楼,5
本科生公寓2号楼,档案馆,8
本科生公寓3号楼,本科生公寓1号楼,5
本科生公寓4号楼,百花园餐厅,8
本科生公寓5号楼,秋实阁,4
本科生公寓6号楼,物理信息楼,2
研究生公寓1号楼,秋林阁,8
研究生公寓2号楼,档案馆,5
研究生公寓3号楼,物理信息楼,2
研究生公寓4号楼,河口海岸大楼,8
SPF实验动物中心,第四教学楼,7
信息化办公室,信息楼,5
后勤保障部,田径场,5
基建处,实验A楼,6
科技处,数统楼,8
审计处,河东食堂,1
资产管理处,第一教学楼,3
人事处,游泳馆,8
学校办公室,物理楼,5
团委,丽虹桥,6
学生资助管理中心,体育健康楼,10
心理健康教育与咨询中心,教育学部楼,3
校园警卫室,行政楼,9
莲花路警卫室,后勤保障部,6
虹梅路警卫室,游泳馆,5
立体停车库,学术交流中心,10
闵行校区大门,图书馆逸夫楼,7
中北校区大门,SPF实验动物中心,7
丽娃湖,本科生公寓6号楼,10
柳长桥,基建处,8
梅陇井,科技处,9
紫竹广场,校医院,8
心中书社,莲花路警卫室,9
翔华书店,河东食堂,6
河西浴室,档案馆,8
河东浴室,丽娃河,6
丽娃浴室,梅陇井,2
西操场,外语学院楼,9
东操场,美术学院楼,4
综合体育馆,虹梅路警卫室,8
心理健康教育与咨询中心,SPF实验动物中心,2
人文学院楼,秋林阁,6
实验B楼,校史馆,4
丽娃湖,实验B楼,9
中北校区大门,审计处,3
立体停车库,丽娃河,4
法学院楼,本科生公寓6号楼,1
学生活动中心,校园警卫室,1
紫竹广场,秋林阁,10
本科生公寓2号楼,生物实验楼,7
学校办公室,第三教学楼,1
马克思主义学院楼,计算机中心,1
丽虹桥,综合体育馆,2
教育学部楼,研究生公寓3号楼,3
团委,人事处,3
紫竹广场,心中书社,5
百花园餐厅,崇真书院,9
美术学院楼,柳长桥,7
审计处,河西食堂,4
东操场,外语学院楼,5
基建处,审计处,1
资产管理处,学生资助管理中心,2
本科生公寓4号楼,本科生公寓5号楼,1
西操场,河东食堂,8
本科生公寓5号楼,物理楼,8
科技处,研究生公寓3号楼,4
研究生公寓2号楼,研究生公寓3号楼,5
申云轩餐厅,本科生公寓5号楼,8
教育学部楼,青年教师公寓,9
第二教学楼,物理信息楼,9
美术学院楼,法商楼,8
闵行校区大门,研究生公寓1号楼,5
莲花路警卫室,丽娃浴室,4
共青场,后勤保障部,9
丽虹桥,图书馆逸夫楼,6
校医院,田径场,7
研究生公寓1号楼,综合体育馆,8
华闵餐厅,河东浴室,8
游泳馆,实验A楼,4
研究生公寓1号楼,思群堂,2
田径场,实验教学中心,8
虹梅路警卫室,青年教师公寓,4
心中书社,西操场,8
丽娃食堂,河口海岸大楼,8
本科生公寓3号楼,秋林阁,6
学生资助管理中心,法学院楼,1
排球场,档案馆,3
排球场,审计处,8
莲花路警卫室,河东浴室,4
综合体育馆,第四教学楼,2
教育学部楼,地理馆,8
